file,line_number,paper_output,study,estimation_call,reporting_call,category,se_type_actually_reported,notes
clean_replication/Dataverse_files/multiverse.R,114-124,"Figure A11 (panel 1, low immigration views)",1,"p4<- stability_plot(data = LOW, lhs = 'support', rhs = 'treatnum', ...)","p4<- stability_plot(data = LOW, lhs = 'support', rhs = 'treatnum', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,141-151,"Figure A11 (panel 2, mid immigration views)",1,"p5<- stability_plot(data = MID, lhs = 'support', rhs = 'treatnum', ...)","p5<- stability_plot(data = MID, lhs = 'support', rhs = 'treatnum', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,168-178,"Figure A11 (panel 3, high immigration views)",1,"p6<- stability_plot(data = HIGH, lhs = 'support', rhs = 'treatnum', ...)","p6<- stability_plot(data = HIGH, lhs = 'support', rhs = 'treatnum', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,229-240,"Figure A12 (panel 1, full sample)",2,"p1<- stability_plot(data = spain, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...)","p1<- stability_plot(data = spain, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,257-268,"Figure A12 (panel 2, below-average immigration views)",2,"p2<- stability_plot(data = noproimmES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...)","p2<- stability_plot(data = noproimmES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,284-295,"Figure A12 (panel 3, above-average immigration views)",2,"p3<- stability_plot(data = proimmES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...)","p3<- stability_plot(data = proimmES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,320-331,"Figure A13 (panel 1, low immigration views)",2,"p4<- stability_plot(data = LOWES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...)","p4<- stability_plot(data = LOWES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,348-359,"Figure A13 (panel 2, mid immigration views)",2,"p5<- stability_plot(data = MIDES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...)","p5<- stability_plot(data = MIDES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,375-386,"Figure A13 (panel 3, high immigration views)",2,"p6<- stability_plot(data = HIGHES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...)","p6<- stability_plot(data = HIGHES, lhs = 'support', rhs = 'treatnum', weights = 'nationalweight', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/descriptiveplots.R,131-155,Figure A1,NA,"ess_data |> filter(poorctry_bin==0) |> as_survey_design(1, weight = pspwght) |> group_by(...) |> summarise(Proportion = survey_mean())","ggplot(...) + geom_col() ... ggsave(""FigureA1.png"", ...)",D,None displayed (survey_mean SEs computed but not plotted),"stated: '#### Figure A.1 ... ####' at L130. Purely descriptive stacked-bar proportions from ESS data; no regression, no SEs shown. NOT AUDITABLE BY EXECUTION: the input file ESS-Data-Wizard-subset-2023-02-08.dta is excluded from the GitHub copy for size (noted in repo README)."
clean_replication/descriptiveplots.R,162-185,Figure A2,NA,"ess_data |> drop_na(gay_poorctry) |> as_survey_design(1, weight = pspwght) |> group_by(...) |> summarise(Proportion = survey_mean())","ggplot(...) + geom_col() ... ggsave(""FigureA2.png"", ...)",D,None displayed,stated: '#### Figure A.2 ... ####' at L161. Descriptive. Same missing .dta caveat.
clean_replication/descriptiveplots.R,195-254,Figure A3,NA,"region.gays <- merged_df %>% group_by(region) %>% summarise(long = mean(long), lat = mean(lat), lgbED=mean(lgbED), ...)","plot1+plot2+plot3 ... ggsave(""FigureA3.png"", ...)",D,None - choropleth of Eurobarometer percentages,"stated: '##FIGURE A3##' at L193. Descriptive map, no model, no SEs."
clean_replication/descriptiveplots.R,268-289,Figure A8,NA,"test_power<- power_interaction(n.iter = 1000, alpha = 0.05, N = seq(800,1200,by = 50), r.x1x2.y = seq(.1,.2,by=.01), r.x1.y = -.06, r.x2.y = -.38, r.x1.x2 = -.01)","p1<- plot_power_curve(power_data = test_power, power_target = .8, x = ""N"", group = ""r.x1x2.y"")",D,None - simulated power curve,"stated: '###FIGURE A8###' at L258 and ggsave(""FigureA8.png"") at L289. Monte Carlo power simulation; no standard errors are reported."
clean_replication/study1_summarystats.R,33-34,Table A1,1,(none - descriptive),"datasummary(outcome + imm_1 + income ~ N + Mean + SD + Min + Max, data = df, output=""latex"")",D,None - N/Mean/SD/Min/Max only,"stated: '###TABLE A1###' at L32 and ReadMe.pdf. Descriptive. NOTE: this script reads read_csv(""UKdata_analysis.csv"") at L10, a filename that does not exist in the Dataverse archive (which ships study1_data.csv); the script as distributed will not run as-is."
clean_replication/study1_summarystats.R,39-40,Table A2,1,(none - descriptive),"datasummary(treat + immbelow + imm3 + gender + queer + agecat + nonwhite + religion + ideology + voterecall + brexit + 1 ~ N + Percent(fn = function(x, y) 100 * length(x) / length(y)), data = df, output=""latex"")",D,None - counts and percentages only,stated: '###TABLE A2###' at L37 and ReadMe.pdf.
clean_replication/study1_summarystats.R,64-66,Table A3 (balance table),1,"(implicit: estimatr::difference_in_means, called internally by datasummary_balance)","datasummary_balance(~treat, data = df2, output=""latex"")",D,"Neyman/Welch (heteroskedasticity-robust, HC2-type) SEs on the difference in means, by package default","stated: '###TABLE A3###' at L44 and ReadMe.pdf. Classified D because this is a descriptive balance table with no user-specified model or SE call. For completeness: modelsummary:::DinM calls estimatr::difference_in_means, whose variance estimator is heteroskedasticity-robust by construction - so the Std. Error column is robust, but by package default, not by request."
clean_replication/study2_summarystats.R,26-27,Table A4,2,(none - descriptive),"datasummary(lgbtED + imm_1 + pride_valoresUE + ... ~ N + weighted.mean * Arguments(w = nationalweight, na.rm = TRUE) + SD + Min + Max, data = spain, output=""latex"")",D,None - N/weighted mean/SD/Min/Max only,stated: '###TABLE A4###' at L25 and ReadMe.pdf.
clean_replication/study2_summarystats.R,32-33,Table A5 (unweighted panel),2,(none - descriptive),"datasummary(treat + immdum + imm3 + gender + queer + agecat + child + foreignborn + CCAA + 1 ~ N + Percent(fn = function(x, y) 100 * length(x) / length(y)), data = spain, output=""latex"")",D,None - counts and percentages only,stated: '###TABLE A5###' at L30 and ReadMe.pdf.
clean_replication/study2_summarystats.R,34-35,Table A5 (weighted panel),2,(none - descriptive),"datasummary(supportcat + treat + immdum + imm3 + gender + queer + agecat + child + foreignborn + CCAA + 1 ~ N + nationalweight * Percent(fn = wtpct), data = spain, output=""latex"")",D,None - counts and weighted percentages only,stated: '###TABLE A5###' at L30.
clean_replication/study2_summarystats.R,49-51,Table A6 (balance table),2,"(implicit: estimatr::difference_in_means, called internally by datasummary_balance)","datasummary_balance(~treat, data = dfX, output=""latex"")",D,"Neyman/Welch (heteroskedasticity-robust, HC2-type) SEs on the difference in means, by package default",stated: '###TABLE A6###' at L37 and ReadMe.pdf. Same reasoning as Table A3. NOTE: L38 selects columns not including nationalweight but L45 references nationalweight and L48 drops it - the script as distributed errors here.
